City,Date,Country,co,no2,o3,pm10,pm25,so2
Ōita,63,63,63,63,63,63,63,63
Hamburg,63,63,63,63,63,63,63,63
Surrey,63,63,63,63,63,63,63,63
Keelung,63,63,63,63,63,63,63,63
Suncheon,63,63,63,63,63,63,63,63
Skopje,63,63,63,63,63,63,63,63
Kobe,63,63,63,63,63,63,63,63
Kolkata,63,63,63,63,63,63,63,63
Shijiazhuang,63,63,63,63,63,63,63,63
Kumamoto,63,63,63,63,63,63,63,63
Kunming,63,63,63,63,63,63,63,63
Kyoto,63,63,63,63,63,63,63,63
Shenzhen,63,63,63,63,63,63,63,63
Lampang,63,63,63,63,63,63,63,63
Lanzhou,63,63,63,63,63,63,63,63
Shenyang,63,63,63,63,63,63,63,63
Lhasa,63,63,63,63,63,63,63,63
Lima,63,63,63,63,63,63,63,63
Shantou,63,63,63,63,63,63,63,63
Katowice,63,63,63,63,63,63,63,63
Suwon,63,63,63,63,63,63,63,63
Kaohsiung,63,63,63,63,63,63,63,63
Hāpur,63,63,63,63,63,63,63,63
Harbin,63,63,63,63,63,63,63,63
Hefei,63,63,63,63,63,63,63,63
Hegang,63,63,63,63,63,63,63,63
Hiroshima,63,63,63,63,63,63,63,63
Płock,63,63,63,63,63,63,63,63
Hsinchu,63,63,63,63,63,63,63,63
Hyderabad,63,63,63,63,63,63,63,63
Incheon,63,63,63,63,63,63,63,63
Kanazawa,63,63,63,63,63,63,63,63
Jacksonville,63,63,63,63,63,63,63,63
Jaipur,63,63,63,63,63,63,63,63
Jeju City,63,63,63,63,63,63,63,63
Jeonju,63,63,63,63,63,63,63,63
Jieyang,63,63,63,63,63,63,63,63
Jinan,63,63,63,63,63,63,63,63
Kagoshima,63,63,63,63,63,63,63,63
Shanghai,63,63,63,63,63,63,63,63
London,63,63,63,63,63,63,63,63
Seoul,63,63,63,63,63,63,63,63
Rayong,63,63,63,63,63,63,63,63
Santiago,63,63,63,63,63,63,63,63
Nara-shi,63,63,63,63,63,63,63,63
Samut Prakan,63,63,63,63,63,63,63,63
Saitama,63,63,63,63,63,63,63,63
Ningbo,63,63,63,63,63,63,63,63
Rome,63,63,63,63,63,63,63,63
