,,,median,median,median,median,median,median
Specie,,,co,no2,o3,pm10,pm25,so2
Date,City,Country,,,,,,
1/1/2019,Adapazarı,TR,15.2,17.0,6.5,68.0,151.0,28.9
1/1/2019,Adelaide,AU,0.1,0.1,0.0,7.0,6.0,0.1
1/1/2019,Akita,JP,3.4,2.8,30.4,7.0,38.0,1.5
1/1/2019,Amsterdam,NL,1.8,5.0,23.8,19.0,41.0,0.1
1/1/2019,Andong,KR,8.9,16.7,20.8,58.0,104.0,14.3
1/1/2019,Ankara,TR,5.2,17.9,5.3,27.0,55.0,7.1
1/1/2019,Anyang,CN,26.2,34.3,4.9,114.0,191.0,30.4
1/1/2019,Atlanta,US,2.5,6.5,8.0,14.0,31.0,0.2
1/1/2019,Bangkok,TH,0.1,13.3,11.9,31.0,70.0,1.1
1/1/2019,Beijing,CN,8.2,22.4,11.0,54.0,114.0,4.6
1/1/2019,Belfast,GB,1.4,8.7,21.2,13.0,42.0,3.1
1/1/2019,Belgrade,RS,6.0,9.7,10.1,24.0,78.0,2.9
1/1/2019,Bengaluru,IN,7.7,14.4,23.5,73.0,153.0,2.6
1/1/2019,Berlin,DE,0.1,6.3,19.9,19.0,50.0,0.7
1/1/2019,Bhopal,IN,12.8,11.1,5.4,120.0,175.0,12.8
1/1/2019,Bilbao,ES,0.1,12.8,3.3,23.0,68.0,4.0
1/1/2019,Bogotá,CO,4.6,2.3,8.3,17.0,34.0,0.3
1/1/2019,Brescia,IT,0.1,23.8,3.3,52.0,139.0,1.1
1/1/2019,Brisbane,AU,0.1,0.1,0.1,16.0,20.0,0.1
1/1/2019,Bristol,GB,1.4,15.1,17.0,14.0,30.0,0.6
1/1/2019,Brussels,BE,0.1,5.5,16.3,15.0,46.0,0.6
1/1/2019,Budapest,HU,7.2,12.0,11.0,20.0,56.0,2.4
1/1/2019,Burgos,ES,0.1,5.2,20.4,13.0,9.0,0.8
1/1/2019,Bursa,TR,32.6,24.7,19.1,58.0,76.0,8.2
1/1/2019,Busan,KR,3.4,10.2,21.6,25.0,61.0,4.3
1/1/2019,Bydgoszcz,PL,3.7,2.7,18.8,17.0,33.0,1.4
1/1/2019,Calama,CL,2.9,2.5,20.1,51.0,74.0,0.6
1/1/2019,Cardiff,GB,1.4,5.5,17.1,14.0,30.0,0.6
1/1/2019,Changchun,CN,9.1,18.3,24.4,62.0,147.0,11.2
1/1/2019,Changsha,CN,6.4,11.0,14.7,40.0,127.0,3.6
1/1/2019,Changwon,KR,4.5,11.2,23.3,27.0,57.0,4.3
1/1/2019,Changzhou,CN,6.4,12.8,21.6,51.0,107.0,4.6
1/1/2019,Charleroi,BE,0.1,6.9,14.3,18.0,57.0,0.6
1/1/2019,Chengdu,CN,10.0,18.8,3.3,54.0,132.0,2.6
1/1/2019,Cheongju-si,KR,7.8,22.3,18.4,43.0,99.0,5.8
1/1/2019,Chiang Mai,TH,0.1,7.5,8.3,30.0,80.0,1.1
1/1/2019,Chiba,JP,4.5,11.2,15.2,9.0,34.0,2.9
1/1/2019,Chon Buri,TH,0.1,4.7,17.8,25.0,63.0,1.1
1/1/2019,Chongqing,CN,7.3,17.9,3.3,61.0,144.0,3.6
1/1/2019,Chuncheon,KR,10.0,29.7,10.4,42.0,80.0,5.8
1/1/2019,Concepción,CL,33.5,3.4,6.4,24.0,39.0,3.6
1/1/2019,Copenhagen,DK,1.3,1.8,28.7,31.0,29.0,0.2
1/1/2019,Cuernavaca,MX,10.3,15.2,22.0,36.0,61.0,5.0
1/1/2019,Daegu,KR,5.6,11.2,20.8,27.0,68.0,4.3
1/1/2019,Daejeon,KR,8.9,24.1,12.8,44.0,93.0,5.8
1/1/2019,Darwin,AU,3.0,0.3,7.8,13.0,13.0,0.1
1/1/2019,Delhi,IN,17.6,29.0,4.1,354.0,341.0,9.3
1/1/2019,Denver,US,1.9,6.0,7.4,13.0,42.0,1.6
1/1/2019,Dongguan,CN,7.6,9.2,8.6,25.0,74.0,3.6
1/1/2019,Donostia / San Sebastián,ES,0.1,11.0,5.7,17.0,62.0,1.6
1/1/2019,Douliu,TW,3.7,10.2,20.8,30.0,53.0,4.3
1/1/2019,Edinburgh,GB,3.1,9.2,23.2,12.0,25.0,0.6
1/1/2019,Erzurum,TR,19.7,47.1,9.4,63.0,158.0,7.1
1/1/2019,Foshan,CN,7.4,10.1,6.1,44.0,99.0,4.1
1/1/2019,Fukuoka,JP,3.4,4.7,26.4,10.0,42.0,1.5
1/1/2019,Fushun,CN,12.7,21.5,8.2,85.0,167.0,13.7
1/1/2019,Fuzhou,CN,6.8,10.6,20.4,21.0,50.0,2.1
1/1/2019,Gasteiz / Vitoria,ES,0.1,13.3,11.4,20.0,53.0,1.6
1/1/2019,Gdańsk,PL,2.1,1.8,25.6,9.0,11.0,1.4
1/1/2019,Ghāziābād,IN,26.7,73.3,2.1,344.0,384.0,6.3
1/1/2019,Gifu-shi,JP,3.4,5.6,17.6,8.0,25.0,1.5
1/1/2019,Guadalajara,MX,11.9,11.2,4.0,56.0,234.0,4.2
1/1/2019,Guangzhou,CN,6.6,12.8,8.6,34.0,89.0,3.1
1/1/2019,Guiyang,CN,5.5,8.3,16.7,40.0,78.0,8.2
1/1/2019,Gwangju,KR,5.6,14.9,18.4,26.0,68.0,4.3
