Date,City,Country,co,no2,o3,pm10,pm25,so2
1/1/2020,Abu Dhabi,AE,0.1,18.8,18.7,58,68,6.6
1/1/2020,Adapazarı,TR,9.2,11.7,5.3,36,75,7.6
1/1/2020,Amsterdam,NL,3.6,13.9,5.1,51,138,0.2
1/1/2020,Andong,KR,6.7,5.6,19.2,17,53,4.3
1/1/2020,Ankara,TR,6.7,19.7,4.4,27,60,13.2
1/1/2020,Antwerpen,BE,0.1,9.6,7,27,78,0.6
1/1/2020,Anyang,CN,10.7,21.5,6.1,70,142,11.2
1/1/2020,Athens,GR,0.1,7.8,23.2,19,57,3.1
1/1/2020,Atlanta,US,2.2,5.6,20,8,26,0.3
1/1/2020,Balıkesir,TR,8.9,9,9.1,20,46,39.6
1/1/2020,Bangkok,TH,0.1,7.5,7.5,33,68,1.1
1/1/2020,Beijing,CN,8.2,25.2,1.7,52,104,4.1
1/1/2020,Belfast,GB,0.6,15.1,7.4,24,63,2.1
1/1/2020,Belgrade,RS,7.8,12.1,5,49,128,3.9
1/1/2020,Bengaluru,IN,9.8,12.7,13.2,57,89,4.3
1/1/2020,Berlin,DE,0.1,13.3,14.3,28,74,2.6
1/1/2020,Bhopal,IN,9.5,11.9,13.2,88,150,4.3
1/1/2020,Bilbao,ES,0.1,9.6,8.6,20,61,2.6
1/1/2020,Bogotá,CO,4.6,5,4,25,61,0.6
1/1/2020,Brescia,IT,0.1,27,15.1,37,102,0.6
1/1/2020,Brisbane,AU,1,1.9,6.1,16,24,0.6
1/1/2020,Brussels,BE,0.1,9.2,6.1,21,68,0.6
1/1/2020,Budapest,HU,4.6,7.1,16.7,19,58,1.6
1/1/2020,Burgos,ES,0.1,10.6,10.2,18,38,2.1
1/1/2020,Bursa,TR,17,13.9,5.4,37,65,8.3
1/1/2020,Busan,KR,4.5,10.2,21.6,18,50,4.3
1/1/2020,Bydgoszcz,PL,3.5,4.8,20.4,22,52,2.4
1/1/2020,Calama,CL,3.2,2.8,17.6,41,58,1.6
1/1/2020,Cardiff,GB,3.3,8.7,9.4,20,44,4.6
1/1/2020,Chandigarh,IN,8.4,11.2,5.7,117,164,4.9
1/1/2020,Changchun,CN,10.3,25.2,6.5,64,159,11.2
1/1/2020,Changsha,CN,10,19.2,2.5,72,162,3.6
1/1/2020,Changwon,KR,4.5,9.3,23.3,16,46,4.3
1/1/2020,Charleroi,BE,0.1,12.4,3.7,26,76,1.1
1/1/2020,Chengdu,CN,8.4,19.7,5.7,83,172,2.6
1/1/2020,Chennai,IN,3.9,3.9,8.4,33,68,2.8
1/1/2020,Cheongju-si,KR,5.6,22.3,8,29,74,4.3
1/1/2020,Chiang Mai,TH,0.1,7,7.9,37,93,0.6
1/1/2020,Chiba,JP,4.5,5.6,26.4,5,17,2.9
1/1/2020,Chon Buri,TH,0.1,3.5,10.7,37,70,0.6
1/1/2020,Chongqing,CN,9.1,22,5.7,67,154,5.6
1/1/2020,Chuncheon,KR,5.6,12.1,14.5,25,63,2.9
1/1/2020,Concepción,CL,9.7,2.2,13.6,42,59,1.8
1/1/2020,Copenhagen,DK,2.7,3.3,26.9,17,44,0.4
1/1/2020,Cuernavaca,MX,7.2,8.3,15.2,39,30,7.7
1/1/2020,Daegu,KR,5.6,13,19.2,20,57,4.3
1/1/2020,Daejeon,KR,4.5,14.9,11.2,25,59,4.3
1/1/2020,Dammam,SA,22,2,25,18,74,2
1/1/2020,Darwin,AU,3.8,0.7,9.4,11,20,0.1
1/1/2020,Delhi,IN,22.6,21.1,4.7,342,392,6
1/1/2020,Denver,US,2.8,10.6,14.7,10,13,0.6
1/1/2020,Dongguan,CN,8.2,12.8,14.7,52,124,4.1
1/1/2020,Donostia / San Sebastián,ES,0.1,8.7,21.6,19,50,1.6
1/1/2020,Douliu,TW,3.5,10.2,20.8,29,46,4.3
1/1/2020,Edinburgh,GB,0.6,5.5,17.1,11,46,2.3
1/1/2020,Erzurum,TR,6.3,17.5,27,54,167,7.8
1/1/2020,Foshan,CN,9.1,20.6,12.6,59,119,5.1
1/1/2020,Fukuoka,JP,5.6,5.6,21.6,9,30,1.5
1/1/2020,Fushun,CN,12.7,21.5,7.4,78,163,12.2
1/1/2020,Fuzhou,CN,3.9,10.1,32.5,37,72,2.6
1/1/2020,Gandhinagar,IN,8,6.7,9.7,91,162,5.1
1/1/2020,Gdańsk,PL,2.3,2.5,26.3,12,42,1.2
1/1/2020,Gent,BE,0.1,8.7,8.6,26,76,1.1
1/1/2020,Ghāziābād,IN,21,26.8,1.1,289,355,3.9
1/1/2020,Guadalajara,MX,3.9,7.5,8,48,52,1.8
1/1/2020,Guangzhou,CN,8.2,18.3,11.8,55,117,4.1
1/1/2020,Guiyang,CN,5.5,6.4,18.7,40,87,5.6
1/1/2020,Gwangju,KR,5.6,13,16,18,50,4.3
1/1/2020,Győr,HU,6.4,7.4,15.6,16,54,0.9
1/1/2020,Haarlem,NL,3.3,12.7,7.5,56,152,0.4
1/1/2020,Haikou,CN,5.3,3.2,30.9,25,46,1.6
1/1/2020,Hamburg,DE,0.1,17.4,6.5,67,167,2.6
1/1/2020,Hanoi,VN,0.3,17.9,4,83,164,4
1/1/2020,Harbin,CN,8.2,18.3,17.9,65,160,13.2
1/1/2020,Hefei,CN,6.4,27,2.9,59,127,3.6
1/1/2020,Hegang,CN,5,2.8,24.8,40,85,6.6
1/1/2020,Hiroshima,JP,3.4,4.7,16,7,21,1.5
1/1/2020,Hong Kong,HK,7.5,13.2,24.5,35,78,1.8
1/1/2020,Hsinchu,TW,2.8,8.4,25.6,13,30,2.9
1/1/2020,Huế,VN,5,4,11,13,18,5
1/1/2020,Hyderabad,IN,5.7,8.8,12.3,55,112,1.2
1/1/2020,Hāpur,IN,9.2,23.2,1.1,189,222,4.7
1/1/2020,Incheon,KR,6.7,32.5,4.8,30,68,5.8
1/1/2020,Istanbul,TR,16.3,18.4,4.8,24,65,7.2
1/1/2020,Jaipur,IN,8.1,14.5,20.3,89,151,5.6
1/1/2020,Jeju City,KR,3.4,7.5,26.4,17,38,1.5
1/1/2020,Jeonju,KR,4.5,12.1,13.6,23,63,4.3
1/1/2020,Jieyang,CN,7.3,9.6,26.4,38,93,5.6
1/1/2020,Jinan,CN,0.1,16,14.3,61,112,7.1
1/1/2020,Johannesburg,ZA,4.9,4.2,11.8,31,112,1.3
1/1/2020,Kagoshima,JP,2.3,2.8,25.6,7,30,1.5
1/1/2020,Kanazawa,JP,2.3,1.9,28.1,4,13,1.5
1/1/2020,Kaohsiung,TW,5.9,18.6,12.1,48,80,4.3
1/1/2020,Katowice,PL,2.2,4.4,22,23,66,3.6
1/1/2020,Kayseri,TR,7.6,0.1,8.8,34,70,2.6
1/1/2020,Kecskemét,HU,6.7,4.5,15.2,23,50,0.5
1/1/2020,Keelung,TW,2.6,3.8,28.1,11,21,1.5
1/1/2020,Kobe,JP,3.4,4.7,23.3,6,25,1.5
1/1/2020,Kolkata,IN,12,32.2,5.1,153,198,6.1
1/1/2020,Konya,TR,8.3,18.1,5.4,43,94,4.3
1/1/2020,Kraków,PL,5.8,9.2,21.2,22,57,2.7
1/1/2020,Kumamoto,JP,2.3,4.7,16,10,38,2.9
1/1/2020,Kunming,CN,6.4,9.6,15.9,24,59,4.1
