Date,City,Country,co,no2,o3,pm10,pm25,so2
1/1/2019,Adapazarı,TR,15.2,17,6.5,68,151,28.9
1/1/2019,Adelaide,AU,0.1,0.1,0,7,6,0.1
1/1/2019,Akita,JP,3.4,2.8,30.4,7,38,1.5
1/1/2019,Amsterdam,NL,1.8,5,23.8,19,41,0.1
1/1/2019,Andong,KR,8.9,16.7,20.8,58,104,14.3
1/1/2019,Ankara,TR,5.2,17.9,5.3,27,55,7.1
1/1/2019,Anyang,CN,26.2,34.3,4.9,114,191,30.4
1/1/2019,Atlanta,US,2.5,6.5,8,14,31,0.2
1/1/2019,Bangkok,TH,0.1,13.3,11.9,31,70,1.1
1/1/2019,Beijing,CN,8.2,22.4,11,54,114,4.6
1/1/2019,Belfast,GB,1.4,8.7,21.2,13,42,3.1
1/1/2019,Belgrade,RS,6,9.7,10.1,24,78,2.9
1/1/2019,Bengaluru,IN,7.7,14.4,23.5,73,153,2.6
1/1/2019,Berlin,DE,0.1,6.3,19.9,19,50,0.7
1/1/2019,Bhopal,IN,12.8,11.1,5.4,120,175,12.8
1/1/2019,Bilbao,ES,0.1,12.8,3.3,23,68,4
1/1/2019,Bogotá,CO,4.6,2.3,8.3,17,34,0.3
1/1/2019,Brescia,IT,0.1,23.8,3.3,52,139,1.1
1/1/2019,Brisbane,AU,0.1,0.1,0.1,16,20,0.1
1/1/2019,Bristol,GB,1.4,15.1,17,14,30,0.6
1/1/2019,Brussels,BE,0.1,5.5,16.3,15,46,0.6
1/1/2019,Budapest,HU,7.2,12,11,20,56,2.4
1/1/2019,Burgos,ES,0.1,5.2,20.4,13,9,0.8
1/1/2019,Bursa,TR,32.6,24.7,19.1,58,76,8.2
1/1/2019,Busan,KR,3.4,10.2,21.6,25,61,4.3
1/1/2019,Bydgoszcz,PL,3.7,2.7,18.8,17,33,1.4
1/1/2019,Calama,CL,2.9,2.5,20.1,51,74,0.6
1/1/2019,Cardiff,GB,1.4,5.5,17.1,14,30,0.6
1/1/2019,Changchun,CN,9.1,18.3,24.4,62,147,11.2
1/1/2019,Changsha,CN,6.4,11,14.7,40,127,3.6
1/1/2019,Changwon,KR,4.5,11.2,23.3,27,57,4.3
1/1/2019,Changzhou,CN,6.4,12.8,21.6,51,107,4.6
1/1/2019,Charleroi,BE,0.1,6.9,14.3,18,57,0.6
1/1/2019,Chengdu,CN,10,18.8,3.3,54,132,2.6
1/1/2019,Cheongju-si,KR,7.8,22.3,18.4,43,99,5.8
1/1/2019,Chiang Mai,TH,0.1,7.5,8.3,30,80,1.1
1/1/2019,Chiba,JP,4.5,11.2,15.2,9,34,2.9
1/1/2019,Chon Buri,TH,0.1,4.7,17.8,25,63,1.1
1/1/2019,Chongqing,CN,7.3,17.9,3.3,61,144,3.6
1/1/2019,Chuncheon,KR,10,29.7,10.4,42,80,5.8
1/1/2019,Concepción,CL,33.5,3.4,6.4,24,39,3.6
1/1/2019,Copenhagen,DK,1.3,1.8,28.7,31,29,0.2
1/1/2019,Cuernavaca,MX,10.3,15.2,22,36,61,5
1/1/2019,Daegu,KR,5.6,11.2,20.8,27,68,4.3
1/1/2019,Daejeon,KR,8.9,24.1,12.8,44,93,5.8
1/1/2019,Darwin,AU,3,0.3,7.8,13,13,0.1
1/1/2019,Delhi,IN,17.6,29,4.1,354,341,9.3
1/1/2019,Denver,US,1.9,6,7.4,13,42,1.6
1/1/2019,Dongguan,CN,7.6,9.2,8.6,25,74,3.6
1/1/2019,Donostia / San Sebastián,ES,0.1,11,5.7,17,62,1.6
1/1/2019,Douliu,TW,3.7,10.2,20.8,30,53,4.3
1/1/2019,Edinburgh,GB,3.1,9.2,23.2,12,25,0.6
1/1/2019,Erzurum,TR,19.7,47.1,9.4,63,158,7.1
1/1/2019,Foshan,CN,7.4,10.1,6.1,44,99,4.1
1/1/2019,Fukuoka,JP,3.4,4.7,26.4,10,42,1.5
1/1/2019,Fushun,CN,12.7,21.5,8.2,85,167,13.7
1/1/2019,Fuzhou,CN,6.8,10.6,20.4,21,50,2.1
1/1/2019,Gasteiz / Vitoria,ES,0.1,13.3,11.4,20,53,1.6
1/1/2019,Gdańsk,PL,2.1,1.8,25.6,9,11,1.4
1/1/2019,Ghāziābād,IN,26.7,73.3,2.1,344,384,6.3
1/1/2019,Gifu-shi,JP,3.4,5.6,17.6,8,25,1.5
1/1/2019,Guadalajara,MX,11.9,11.2,4,56,234,4.2
1/1/2019,Guangzhou,CN,6.6,12.8,8.6,34,89,3.1
1/1/2019,Guiyang,CN,5.5,8.3,16.7,40,78,8.2
1/1/2019,Gwangju,KR,5.6,14.9,18.4,26,68,4.3
