,,,median,median,median,median,median,median
Specie,,,co,no2,o3,pm10,pm25,so2
Date,City,Country,,,,,,
1/1/2020,Abu Dhabi,AE,0.1,18.8,18.7,58.0,68.0,6.6
1/1/2020,Adapazarı,TR,9.2,11.7,5.3,36.0,75.0,7.6
1/1/2020,Amsterdam,NL,3.6,13.9,5.1,51.0,138.0,0.2
1/1/2020,Andong,KR,6.7,5.6,19.2,17.0,53.0,4.3
1/1/2020,Ankara,TR,6.7,19.7,4.4,27.0,60.0,13.2
1/1/2020,Antwerpen,BE,0.1,9.6,7.0,27.0,78.0,0.6
1/1/2020,Anyang,CN,10.7,21.5,6.1,70.0,142.0,11.2
1/1/2020,Athens,GR,0.1,7.8,23.2,19.0,57.0,3.1
1/1/2020,Atlanta,US,2.2,5.6,20.0,8.0,26.0,0.3
1/1/2020,Balıkesir,TR,8.9,9.0,9.1,20.0,46.0,39.6
1/1/2020,Bangkok,TH,0.1,7.5,7.5,33.0,68.0,1.1
1/1/2020,Beijing,CN,8.2,25.2,1.7,52.0,104.0,4.1
1/1/2020,Belfast,GB,0.6,15.1,7.4,24.0,63.0,2.1
1/1/2020,Belgrade,RS,7.8,12.1,5.0,49.0,128.0,3.9
1/1/2020,Bengaluru,IN,9.8,12.7,13.2,57.0,89.0,4.3
1/1/2020,Berlin,DE,0.1,13.3,14.3,28.0,74.0,2.6
1/1/2020,Bhopal,IN,9.5,11.9,13.2,88.0,150.0,4.3
1/1/2020,Bilbao,ES,0.1,9.6,8.6,20.0,61.0,2.6
1/1/2020,Bogotá,CO,4.6,5.0,4.0,25.0,61.0,0.6
1/1/2020,Brescia,IT,0.1,27.0,15.1,37.0,102.0,0.6
1/1/2020,Brisbane,AU,1.0,1.9,6.1,16.0,24.0,0.6
1/1/2020,Brussels,BE,0.1,9.2,6.1,21.0,68.0,0.6
1/1/2020,Budapest,HU,4.6,7.1,16.7,19.0,58.0,1.6
1/1/2020,Burgos,ES,0.1,10.6,10.2,18.0,38.0,2.1
1/1/2020,Bursa,TR,17.0,13.9,5.4,37.0,65.0,8.3
1/1/2020,Busan,KR,4.5,10.2,21.6,18.0,50.0,4.3
1/1/2020,Bydgoszcz,PL,3.5,4.8,20.4,22.0,52.0,2.4
1/1/2020,Calama,CL,3.2,2.8,17.6,41.0,58.0,1.6
1/1/2020,Cardiff,GB,3.3,8.7,9.4,20.0,44.0,4.6
1/1/2020,Chandigarh,IN,8.4,11.2,5.7,117.0,164.0,4.9
1/1/2020,Changchun,CN,10.3,25.2,6.5,64.0,159.0,11.2
1/1/2020,Changsha,CN,10.0,19.2,2.5,72.0,162.0,3.6
1/1/2020,Changwon,KR,4.5,9.3,23.3,16.0,46.0,4.3
1/1/2020,Charleroi,BE,0.1,12.4,3.7,26.0,76.0,1.1
1/1/2020,Chengdu,CN,8.4,19.7,5.7,83.0,172.0,2.6
1/1/2020,Chennai,IN,3.9,3.9,8.4,33.0,68.0,2.8
1/1/2020,Cheongju-si,KR,5.6,22.3,8.0,29.0,74.0,4.3
1/1/2020,Chiang Mai,TH,0.1,7.0,7.9,37.0,93.0,0.6
1/1/2020,Chiba,JP,4.5,5.6,26.4,5.0,17.0,2.9
1/1/2020,Chon Buri,TH,0.1,3.5,10.7,37.0,70.0,0.6
1/1/2020,Chongqing,CN,9.1,22.0,5.7,67.0,154.0,5.6
1/1/2020,Chuncheon,KR,5.6,12.1,14.5,25.0,63.0,2.9
1/1/2020,Concepción,CL,9.7,2.2,13.6,42.0,59.0,1.8
1/1/2020,Copenhagen,DK,2.7,3.3,26.9,17.0,44.0,0.4
1/1/2020,Cuernavaca,MX,7.2,8.3,15.2,39.0,30.0,7.7
1/1/2020,Daegu,KR,5.6,13.0,19.2,20.0,57.0,4.3
1/1/2020,Daejeon,KR,4.5,14.9,11.2,25.0,59.0,4.3
1/1/2020,Dammam,SA,22.0,2.0,25.0,18.0,74.0,2.0
1/1/2020,Darwin,AU,3.8,0.7,9.4,11.0,20.0,0.1
1/1/2020,Delhi,IN,22.6,21.1,4.7,342.0,392.0,6.0
1/1/2020,Denver,US,2.8,10.6,14.7,10.0,13.0,0.6
1/1/2020,Dongguan,CN,8.2,12.8,14.7,52.0,124.0,4.1
1/1/2020,Donostia / San Sebastián,ES,0.1,8.7,21.6,19.0,50.0,1.6
1/1/2020,Douliu,TW,3.5,10.2,20.8,29.0,46.0,4.3
1/1/2020,Edinburgh,GB,0.6,5.5,17.1,11.0,46.0,2.3
1/1/2020,Erzurum,TR,6.3,17.5,27.0,54.0,167.0,7.8
1/1/2020,Foshan,CN,9.1,20.6,12.6,59.0,119.0,5.1
1/1/2020,Fukuoka,JP,5.6,5.6,21.6,9.0,30.0,1.5
1/1/2020,Fushun,CN,12.7,21.5,7.4,78.0,163.0,12.2
1/1/2020,Fuzhou,CN,3.9,10.1,32.5,37.0,72.0,2.6
1/1/2020,Gandhinagar,IN,8.0,6.7,9.7,91.0,162.0,5.1
1/1/2020,Gdańsk,PL,2.3,2.5,26.3,12.0,42.0,1.2
1/1/2020,Gent,BE,0.1,8.7,8.6,26.0,76.0,1.1
1/1/2020,Ghāziābād,IN,21.0,26.8,1.1,289.0,355.0,3.9
1/1/2020,Guadalajara,MX,3.9,7.5,8.0,48.0,52.0,1.8
