date, pm25, pm10, o3, no2, so2, co
2018/10/2, 171, , 39, 17, 1, 11
2018/10/3, 171, , 22, 20, 2, 9
2018/10/4, 174, , 16, 28, 2, 14
2018/10/5, 177, , 18, 24, 2, 10
2018/10/6, 168, , 20, 28, 4, 10
2018/10/7, 182, , 19, 29, 4, 10
2018/10/8, 182, , 19, 33, 4, 12
2018/10/9, 188, , 20, 23, 4, 8
2018/10/10, 178, , 14, 18, 6, 6
2018/10/11, 179, , 12, 16, 6, 6
2018/10/12, 174, , 11, 16, 4, 7
2018/10/13, 147, , 13, 18, 4, 6
2018/10/14, 149, , 25, 21, 4, 7
2018/10/15, 182, , 24, 29, 4, 9
2018/10/16, 200, , 23, 33, 4, 15
2018/10/17, 191, , 30, 29, 4, 10
2018/10/18, 190, , 26, 31, 3, 14
2018/10/19, 205, , 10, 28, 1, 11
2018/10/20, 218, , 11, 27, 1, 12
2018/10/21, 196, , 11, 28, 1, 11
2018/10/22, 209, , 8, 22, 4, 11
2018/10/23, 188, , 12, 33, 11, 11
2018/10/24, 217, , 17, 35, 10, 15
2018/10/25, 231, , 14, 44, 6, 14
2018/10/26, 238, , 15, 33, 6, 15
2018/10/27, 208, , 16, 34, 10, 14
2018/10/28, 215, , 12, 32, 6, 15
2018/10/29, 210, , 10, 29, 4, 21
2018/10/30, 230, , 27, 29, 7, 15
2018/10/31, 222, , 18, 31, 4, 16
2018/11/1, 201, , 33, 32, 7, 19
2018/11/2, 211, , 24, 41, 6, 22
2018/11/3, 252, , 29, 37, 1, 10
2018/11/4, 229, , 28, 25, 1, 9
2018/11/5, 208, , 26, 26, 4, 9
2018/11/6, 189, , 26, 25, 2, 9
2018/11/7, 251, , 31, 31, 9, 13
2018/11/8, 256, , 17, 34, 12, 20
2018/11/9, 431, , 21, 32, 5, 19
2018/11/10, 319, , 22, 35, 6, 22
2018/11/11, 304, , 18, 40, 6, 18
2018/11/12, 287, , 16, 43, 4, 19
2018/11/13, 293, , 15, 49, 6, 22
2018/11/14, 311, , 14, 32, 3, 14
2018/11/15, 262, , 14, 31, 3, 16
2018/11/16, 245, , 13, 20, 3, 10
2018/11/17, 187, , 14, 27, 5, 11
2018/11/18, 217, , 21, 41, 9, 16
2018/11/19, 290, , 21, 43, 5, 19
2018/11/20, 258, , 16, 54, 8, 23
2018/11/21, 326, , 19, 38, 7, 18
2018/11/22, 293, , 18, 36, 7, 14
2018/11/23, 234, , 24, 29, 7, 12
2018/11/24, 221, , 27, 24, 7, 11
2018/11/25, 209, , 23, 33, 7, 14
2018/11/26, 235, , 17, 41, 8, 19
2018/11/27, 272, , 14, 45, 8, 23
2018/11/28, 310, , 12, 36, 5, 22
2018/11/29, 298, , 13, 35, 3, 28
2018/11/30, 254, , 15, 32, 5, 15
2018/12/1, 278, , 6, 29, 4, 12
2018/12/2, 287, , , , , 
2018/7/2, 123, , 12, 16, 4, 7
2018/7/3, 153, , 42, 17, 3, 7
2018/7/4, 113, , 85, 14, 3, 7
2018/7/5, 91, , 16, 14, 3, 7
2018/7/6, 122, , 11, 19, 3, 7
2018/7/7, 146, , 5, 18, 3, 7
2018/7/8, 170, , , 15, 3, 6
2018/7/9, 143, , 3, 15, 3, 7
2018/7/10, 117, , 9, 12, 2, 7
2018/7/11, 98, , 22, 14, 3, 7
2018/7/12, 102, , 5, 14, 2, 7
2018/7/13, 78, , 3, 14, 3, 7
2018/7/14, 83, , 1, 14, 3, 8
2018/7/15, 86, , 6, 14, 3, 6
2018/7/16, 108, , 11, 13, 3, 7
2018/7/17, 94, , 28, 13, 2, 6
2018/7/18, 106, , 44, 13, 2, 7
2018/7/19, 132, , 15, 14, 2, 6
2018/7/20, 177, , 7, 15, 3, 7
2018/7/21, 108, , 10, 15, 3, 5
2018/7/22, 81, , 8, 13, 3, 5
2018/7/23, 91, , 2, 15, 3, 7
2018/7/24, 73, , 2, 13, 2, 6
2018/7/25, 102, , 9, 14, 2, 6
2018/7/26, 76, , 6, 14, 3, 7
2018/7/27, 60, , 2, 14, 3, 7
