date, pm25
2020/4/2, 93
2020/4/3, 105
2020/4/4, 99
2020/4/5, 111
2020/3/2, 139
2020/3/3, 152
2020/3/4, 132
2020/3/5, 121
2020/3/6, 122
2020/3/7, 93
2020/3/8, 104
2020/3/9, 110
2020/3/10, 142
2020/3/11, 120
2020/3/12, 72
2020/3/13, 85
2020/3/14, 100
2020/3/15, 123
2020/3/16, 156
2020/3/17, 166
2020/3/18, 177
2020/3/19, 148
2020/3/20, 113
2020/3/21, 83
2020/3/22, 85
2020/3/23, 86
2020/3/24, 99
2020/3/25, 128
2020/3/26, 115
2020/3/27, 108
2020/3/28, 103
2020/3/29, 114
2020/3/30, 98
2020/3/31, 97
2020/4/1, 104
2020/2/2, 171
2020/2/3, 175
2020/2/4, 177
2020/2/5, 167
2020/2/6, 161
2020/2/7, 138
2020/2/8, 145
2020/2/9, 167
2020/2/10, 165
2020/2/11, 158
2020/2/12, 159
2020/2/13, 162
2020/2/14, 163
2020/2/15, 159
2020/2/16, 150
2020/2/17, 167
2020/2/18, 188
2020/2/19, 179
2020/2/20, 187
2020/2/21, 154
2020/2/22, 133
2020/2/23, 165
2020/2/24, 173
2020/2/25, 180
2020/2/26, 138
2020/2/27, 141
2020/2/28, 153
2020/2/29, 172
2020/3/1, 165
2020/1/2, 173
2020/1/3, 173
2020/1/4, 170
2020/1/5, 169
2020/1/6, 163
2020/1/7, 150
2020/1/8, 162
2020/1/9, 138
2020/1/10, 146
2020/1/11, 153
2020/1/12, 157
2020/1/13, 163
2020/1/14, 124
2020/1/15, 98
2020/1/16, 90
2020/1/17, 97
2020/1/18, 78
2020/1/19, 8
2020/1/20, 8
2020/1/21, 157
2020/1/22, 189
2020/1/23, 172
2020/1/24, 176
2020/1/25, 165
2020/1/26, 179
2020/1/27, 189
2020/1/28, 128
2020/1/29, 94
2020/1/30, 91
2020/1/31, 151
2020/2/1, 170
2019/10/2, 41
2019/10/3, 53
2019/10/4, 58
2019/10/5, 76
2019/10/6, 93
2019/10/7, 100
2019/10/8, 118
2019/10/9, 138
2019/10/10, 65
2019/10/11, 109
2019/10/12, 110
2019/10/13, 120
2019/10/14, 105
2019/10/15, 138
2019/10/16, 132
2019/10/17, 128
2019/10/18, 147
2019/10/19, 140
2019/10/20, 81
2019/10/21, 50
2019/10/22, 61
2019/10/23, 48
2019/10/24, 54
2019/10/25, 78
2019/10/26, 60
2019/10/27, 61
2019/10/28, 107
2019/10/29, 117
2019/10/30, 127
2019/10/31, 107
2019/11/1, 72
2019/11/2, 44
2019/11/3, 41
2019/11/4, 60
2019/11/5, 83
2019/11/6, 102
2019/11/7, 142
2019/11/8, 15
2019/11/13, 7
2019/11/14, 99
2019/11/15, 159
2019/11/16, 158
2019/11/17, 162
2019/11/18, 163
2019/11/19, 163
2019/11/20, 174
2019/11/21, 174
2019/11/22, 174
2019/11/23, 171
2019/11/24, 170
2019/11/25, 170
2019/11/26, 172
2019/11/27, 170
2019/11/28, 160
2019/11/29, 162
2019/11/30, 165
2019/12/1, 169
2019/12/2, 174
2019/12/3, 148
2019/12/4, 116
2019/12/5, 137
2019/12/6, 139
2019/12/7, 168
2019/12/8, 160
2019/12/9, 170
2019/12/10, 164
2019/12/11, 160
2019/12/12, 164
2019/12/13, 164
2019/12/14, 134
2019/12/15, 129
2019/12/16, 152
2019/12/17, 164
2019/12/18, 157
2019/12/19, 156
2019/12/20, 152
2019/12/21, 168
2019/12/22, 167
2019/12/23, 167
2019/12/24, 164
2019/12/25, 179
2019/12/26, 185
2019/12/27, 158
2019/12/28, 162
2019/12/29, 160
2019/12/30, 159
2019/7/2, 32
2019/7/3, 48
2019/7/4, 62
2019/7/5, 75
2019/7/6, 65
2019/7/7, 46
2019/7/8, 59
2019/7/9, 48
2019/7/10, 83
2019/7/11, 85
2019/7/12, 73
2019/7/13, 43
2019/7/14, 44
2019/7/15, 36
2019/7/16, 52
2019/7/17, 48
2019/7/18, 56
2019/7/19, 59
2019/7/20, 75
2019/7/21, 70
2019/7/22, 74
2019/7/23, 37
2019/7/24, 26
2019/7/25, 30
2019/7/26, 55
2019/7/27, 52
2019/7/28, 51
2019/7/29, 59
2019/7/30, 54
2019/7/31, 42
2019/8/1, 38
2019/8/2, 47
2019/8/3, 31
2019/8/4, 27
2019/8/5, 39
2019/8/6, 49
2019/8/7, 47
2019/8/8, 53
2019/8/9, 79
2019/8/10, 75
2019/8/11, 71
2019/8/12, 62
2019/8/13, 55
2019/8/14, 55
2019/8/15, 65
2019/8/16, 53
2019/8/17, 48
2019/8/18, 55
2019/8/19, 49
2019/8/20, 53
2019/8/21, 53
2019/8/22, 44
2019/8/23, 52
2019/8/24, 53
2019/8/25, 48
2019/8/26, 47
2019/8/27, 64
2019/8/28, 56
2019/8/29, 56
2019/8/30, 53
2019/8/31, 44
2019/9/1, 45
2019/9/2, 37
2019/9/3, 49
2019/9/4, 19
2019/9/5, 18
2019/9/6, 13
2019/9/7, 22
2019/9/8, 30
2019/9/9, 30
2019/9/10, 54
2019/9/11, 55
2019/9/12, 66
2019/9/13, 42
2019/9/14, 44
2019/9/15, 48
2019/9/16, 34
2019/9/17, 45
2019/9/18, 44
2019/9/19, 59
2019/9/20, 70
2019/9/21, 50
2019/9/22, 53
2019/9/23, 64
2019/9/24, 65
2019/9/25, 56
2019/9/26, 57
2019/9/27, 53
2019/9/28, 33
2019/9/29, 39
2019/9/30, 31
2019/10/1, 29
2019/4/2, 84
2019/4/3, 89
2019/4/4, 100
2019/4/5, 89
2019/4/6, 74
2019/4/7, 72
2019/4/8, 77
2019/4/9, 76
2019/4/10, 71
2019/4/11, 72
2019/4/12, 76
2019/4/13, 92
2019/4/14, 115
2019/4/15, 98
2019/4/16, 90
2019/4/17, 98
2019/4/18, 59
2019/4/19, 79
2019/4/20, 91
2019/4/21, 83
2019/4/22, 82
2019/4/23, 87
2019/4/24, 72
2019/4/25, 72
2019/4/26, 66
2019/4/27, 70
2019/4/29, 112
2019/4/30, 91
2019/5/1, 96
2019/5/2, 90
2019/5/3, 106
2019/5/4, 93
2019/5/5, 94
2019/5/6, 79
2019/5/7, 75
2019/5/8, 73
2019/5/9, 64
2019/5/10, 51
2019/5/11, 44
2019/5/12, 51
2019/5/13, 58
2019/5/14, 70
2019/5/15, 65
2019/5/16, 72
2019/5/17, 69
2019/5/18, 69
2019/5/19, 72
2019/5/20, 61
2019/5/21, 55
2019/5/22, 58
2019/5/23, 51
2019/5/24, 56
2019/5/25, 78
2019/5/26, 69
2019/5/27, 76
2019/5/28, 83
2019/5/29, 75
2019/5/30, 61
2019/5/31, 56
2019/6/1, 57
2019/6/2, 50
2019/6/3, 51
2019/6/4, 52
2019/6/5, 44
2019/6/6, 51
2019/6/7, 46
2019/6/8, 43
2019/6/9, 48
2019/6/10, 55
2019/6/11, 58
2019/6/12, 69
2019/6/13, 56
2019/6/14, 85
2019/6/15, 72
2019/6/16, 62
2019/6/17, 60
2019/6/18, 61
2019/6/19, 67
2019/6/20, 52
2019/6/25, 85
2019/6/26, 66
2019/6/27, 52
2019/6/28, 41
2019/6/29, 31
2019/6/30, 50
2019/7/1, 58
2019/1/2, 196
2019/1/3, 204
2019/1/4, 229
2019/1/5, 207
2019/1/6, 192
2019/1/7, 211
2019/1/8, 169
2019/1/9, 175
2019/1/10, 195
2019/1/11, 216
2019/1/12, 225
2019/1/13, 223
2019/1/14, 222
2019/1/15, 188
2019/1/16, 183
2019/1/17, 184
2019/1/18, 200
2019/1/19, 208
2019/1/20, 205
2019/1/21, 255
2019/1/23, 115
2019/1/24, 134
2019/1/25, 157
2019/1/26, 153
2019/1/27, 146
2019/1/28, 151
2019/1/29, 138
2019/1/30, 136
2019/1/31, 155
2019/2/1, 150
2019/2/2, 159
2019/2/3, 174
2019/2/4, 180
2019/2/5, 166
2019/2/6, 174
2019/2/7, 158
2019/2/8, 109
2019/2/9, 148
2019/2/10, 152
2019/2/11, 168
2019/2/12, 190
2019/2/13, 175
2019/2/14, 151
2019/2/15, 110
2019/2/16, 140
2019/2/17, 141
2019/2/18, 157
2019/2/19, 150
2019/2/20, 145
2019/2/21, 164
2019/2/22, 108
2019/2/23, 121
2019/2/24, 174
2019/2/25, 154
2019/2/26, 136
2019/2/27, 122
2019/2/28, 114
2019/3/1, 122
2019/3/2, 155
2019/3/3, 161
2019/3/4, 80
2019/3/5, 87
2019/3/6, 120
2019/3/7, 108
2019/3/8, 121
2019/3/9, 136
2019/3/10, 147
2019/3/11, 137
2019/3/12, 118
2019/3/13, 106
2019/3/14, 121
2019/3/15, 102
2019/3/16, 118
2019/3/17, 152
2019/3/18, 148
2019/3/19, 155
2019/3/20, 138
2019/3/21, 121
2019/3/22, 95
2019/3/23, 86
2019/3/24, 130
2019/3/25, 161
2019/3/26, 164
2019/3/27, 157
2019/3/28, 145
2019/3/29, 141
2019/3/30, 130
2019/3/31, 114
2019/4/1, 86
2018/10/12, 106
2018/10/13, 147
2018/10/14, 172
2018/10/15, 170
2018/10/16, 164
2018/10/17, 161
2018/10/18, 150
2018/10/19, 120
2018/10/20, 131
2018/10/21, 157
2018/10/22, 172
2018/10/23, 173
2018/10/24, 149
2018/10/25, 153
2018/10/26, 157
2018/10/27, 141
2018/10/28, 164
2018/10/29, 143
2018/10/30, 114
2018/10/31, 147
2018/11/1, 150
2018/11/2, 147
2018/11/3, 145
2018/11/4, 126
2018/11/5, 114
2018/11/6, 105
2018/11/7, 167
2018/11/8, 148
2018/11/9, 253
2018/11/10, 200
2018/11/11, 233
2018/11/12, 169
2018/11/13, 166
2018/11/14, 166
2018/11/15, 154
2018/11/16, 153
2018/11/17, 162
2018/11/18, 165
2018/11/19, 176
2018/11/20, 183
2018/11/21, 183
2018/11/22, 208
2018/11/23, 165
2018/11/24, 166
2018/11/25, 166
2018/11/26, 170
2018/11/27, 175
2018/11/28, 171
2018/11/29, 165
2018/11/30, 166
2018/12/1, 166
2018/12/2, 171
2018/12/3, 179
2018/12/4, 178
2018/12/5, 173
2018/12/6, 175
2018/12/7, 163
2018/12/8, 162
2018/12/9, 174
2018/12/10, 173
2018/12/11, 162
2018/12/12, 149
2018/12/13, 136
2018/12/14, 145
2018/12/15, 140
2018/12/16, 156
2018/12/17, 160
2018/12/18, 163
2018/12/19, 164
2018/12/22, 133
2018/12/23, 161
2018/12/24, 168
2018/12/25, 180
2018/12/26, 197
2018/12/27, 157
2018/12/28, 145
2018/12/29, 167
2018/12/30, 157
2018/12/31, 161
2018/7/2, 98
2018/7/3, 93
2018/7/4, 115
2018/7/5, 126
2018/7/6, 121
2018/7/7, 145
2018/7/8, 134
2018/7/9, 92
2018/7/10, 100
2018/7/11, 100
2018/7/12, 159
2018/7/13, 124
2018/7/14, 167
2018/7/15, 161
2018/7/16, 159
2018/7/17, 175
2018/7/18, 182
2018/7/19, 162
2018/7/20, 155
2018/7/21, 151
2018/7/22, 160
2018/7/23, 140
2018/7/24, 139
2018/7/25, 159
2018/7/26, 124
2018/7/27, 110
2018/7/28, 162
2018/7/29, 148
2018/7/30, 151
2018/7/31, 148
2018/8/1, 138
2018/8/2, 149
2018/8/3, 125
2018/8/4, 109
2018/8/5, 121
2018/8/6, 116
2018/8/7, 136
2018/8/8, 150
2018/8/9, 143
2018/8/10, 147
2018/8/11, 134
2018/8/12, 130
2018/8/13, 131
2018/8/14, 130
2018/8/15, 156
2018/8/16, 131
2018/8/17, 163
2018/8/18, 146
2018/8/21, 187
2018/8/22, 139
2018/8/23, 110
2018/8/24, 109
2018/8/25, 126
2018/8/26, 113
2018/8/27, 66
2018/8/28, 111
2018/8/29, 107
2018/8/30, 102
2018/8/31, 90
2018/9/1, 73
2018/9/26, 81
2018/9/29, 155
2018/4/2, 120
2018/4/3, 94
2018/4/4, 97
2018/4/5, 107
