date, pm25, pm10, o3, no2, so2, co
2020/4/2, 22, 14, 35, 3, , 
2020/4/3, 41, 12, 33, 2, , 
2020/4/4, 28, 20, 37, 3, , 
2020/4/5, 28, 27, 41, 5, 1, 
2020/4/6, 57, 39, 48, 5, 2, 
2020/4/7, 63, 36, 38, 5, , 
2020/4/8, 60, , , , , 
2020/3/2, 8, 7, 29, 4, , 
2020/3/3, 25, 6, 25, 5, , 
2020/3/4, 25, 14, 26, 8, 1, 
2020/3/5, 51, 13, 30, 7, 1, 
2020/3/6, 45, 18, 20, 10, , 
2020/3/7, 64, 18, 28, 4, , 
2020/3/8, 63, 14, 23, 5, 1, 
2020/3/9, 54, 10, 23, 6, , 
2020/3/10, 42, 5, 22, 4, , 
2020/3/11, 21, 4, 30, 3, , 
2020/3/12, 16, 4, 32, 3, , 
2020/3/13, 12, 5, 31, 3, , 
2020/3/14, 16, 11, 34, 4, , 
2020/3/15, 33, 8, 32, 3, 1, 
2020/3/16, 33, 17, 30, 8, 1, 
2020/3/17, 48, 19, 30, 8, , 
2020/3/18, 56, 15, 32, 8, 1, 
2020/3/19, 48, 16, 24, 6, , 
2020/3/20, 51, 11, 26, 3, 1, 
2020/3/21, 37, 8, 30, 1, , 
2020/3/22, 18, 10, 32, 2, , 
2020/3/23, 20, 15, 32, 6, 1, 
2020/3/24, 34, 26, 37, 7, 1, 
2020/3/25, 58, 37, 39, 7, 1, 
2020/3/26, 65, 34, 39, 5, 2, 
2020/3/27, 74, 50, 44, 4, 3, 
2020/3/28, 95, 47, 48, 4, 1, 
2020/3/29, 113, 9, 32, 2, , 
2020/3/30, 26, 7, 27, 5, , 
2020/3/31, 22, 6, 32, 5, , 
2020/4/1, 19, 8, 34, 7, , 
2020/2/2, 11, 5, 28, 2, , 
2020/2/3, 21, 6, 25, 4, , 
2020/2/4, 22, 5, 28, 3, , 
2020/2/5, 19, 3, 24, 3, , 
2020/2/6, 12, 10, 24, 4, , 
2020/2/7, 40, 13, 23, 6, , 
2020/2/8, 47, 13, 21, 5, 1, 
2020/2/9, 52, 12, 30, 4, 1, 
2020/2/10, 41, 3, 31, 2, , 
2020/2/11, 10, 3, 30, 3, , 
2020/2/12, 12, 4, 28, 3, , 
2020/2/13, 15, 7, 24, 6, , 
2020/2/14, 27, 16, 15, 9, , 
2020/2/15, 59, 11, 23, 5, , 
2020/2/16, 43, 4, 28, 3, , 
2020/2/17, 16, 3, 36, 3, , 
2020/2/18, 10, 4, 26, 4, , 
2020/2/19, 15, 4, 27, 3, , 
2020/2/20, 15, 8, 22, 6, , 
2020/2/21, 31, 5, 29, 4, , 
2020/2/22, 18, 5, 32, 3, , 
2020/2/23, 16, 3, 31, 2, , 
2020/2/24, 10, 6, 29, 4, , 
2020/2/25, 20, 4, 30, 4, , 
2020/2/26, 14, 6, 27, 5, , 
2020/2/27, 26, 11, 26, 6, 1, 
2020/2/28, 39, 9, 29, 5, , 
2020/2/29, 33, 11, 30, 3, , 
2020/3/1, 29, 2, 29, 3, , 
2020/1/2, 70, 19, 8, 11, , 
2020/1/3, 64, 9, 17, 5, , 
2020/1/4, 37, 6, 29, 1, , 
2020/1/5, 21, 9, 20, 6, , 
2020/1/6, 31, 13, 20, 7, , 
2020/1/7, 52, 16, 10, 9, , 
2020/1/8, 61, 8, 16, 6, , 
2020/1/9, 33, 8, 9, 7, , 
2020/1/10, 33, 6, 14, 4, , 
2020/1/11, 23, 6, , 4, , 
2020/1/12, 23, 10, , 4, , 
2020/1/13, 42, 8, , 7, , 
2020/1/14, 34, 8, 19, 6, , 
2020/1/15, 30, 6, 22, 5, 1, 
2020/1/16, 21, 10, 21, 11, , 
2020/1/17, 32, 22, 17, 10, 1, 
2020/1/18, 71, 9, 23, 5, , 
2020/1/19, 35, 14, 22, 3, , 
2020/1/20, 50, 13, 17, 9, , 
2020/1/21, 48, 12, , 10, 1, 
2020/1/22, 47, 15, , 7, , 
2020/1/23, 51, 11, 23, 8, , 
2020/1/24, 42, 24, 12, 11, , 
2020/1/25, 76, 15, , 8, , 
2020/1/26, 57, 16, , 7, , 
2020/1/27, 58, 19, 15, 9, , 
2020/1/28, 72, 3, 28, 4, , 
2020/1/29, 10, 6, 26, 4, , 
2020/1/30, 23, 7, 26, 5, , 
2020/1/31, 27, 6, 26, 5, , 
2020/2/1, 24, 3, 24, 4, , 
2019/10/2, 18, 4, 25, 2, 1, 
2019/10/3, 15, 4, 17, 2, 1, 
2019/10/4, 12, 7, 15, 5, 1, 
2019/10/5, 24, 8, 20, 2, 1, 
2019/10/6, 25, 6, 23, 3, 1, 
2019/10/7, 24, 8, 27, 8, 2, 
2019/10/8, 25, 10, 14, 7, 1, 
2019/10/9, 36, 10, 22, 5, 1, 
2019/10/10, 29, 8, 23, 4, 2, 
2019/10/11, 23, 7, 18, 4, 2, 
2019/10/12, 22, 7, 26, 4, 2, 
2019/10/13, 19, 11, 26, 3, 2, 
2019/10/14, 29, 12, 28, 4, , 
2019/10/15, 32, 24, 23, 8, 2, 
2019/10/16, 47, 21, 20, 7, , 
2019/10/17, 64, 8, 17, 5, 2, 
2019/10/18, 24, 8, 24, 5, 2, 
2019/10/19, 23, 5, 20, 4, , 
2019/10/20, 17, 7, 19, 4, , 
2019/10/21, 22, 16, 8, 9, , 
2019/10/22, 50, 20, 16, 7, 2, 
2019/10/23, 58, 19, 15, 8, 3, 
2019/10/24, 50, 37, 17, 7, 3, 
2019/10/25, 83, 30, 21, 8, 2, 
2019/10/26, 85, 10, 21, 4, 2, 
2019/10/27, 33, 7, 25, 2, 2, 
2019/10/28, 22, 7, 22, 4, 2, 
2019/10/29, 21, 11, 18, 8, , 
2019/10/30, 29, 10, 18, 11, , 
