date, pm25, pm10, o3, no2, so2, co
2020/4/2, 23, 17, , 5, , 1
2020/4/3, 23, 10, , 4, , 1
2020/4/4, 17, 11, , 3, , 2
2020/4/5, 19, 32, , 3, , 1
2020/4/6, 39, 21, , 5, , 2
2020/4/7, 28, 20, , 6, , 1
2020/4/8, 23, , , , , 
2020/3/2, 27, 15, , 6, , 
2020/3/3, 26, 11, , 3, , 
2020/3/4, 20, 15, , 4, , 
2020/3/5, 24, 19, , 4, , 
2020/3/6, 26, 19, , 6, , 1
2020/3/7, 26, 19, , 4, , 
2020/3/8, 22, 19, , 2, , 
2020/3/9, 28, 13, , 5, , 1
2020/3/10, 22, 9, , 6, , 1
2020/3/11, 17, 18, , 5, , 
2020/3/12, 21, 11, , 5, , 
2020/3/13, 17, 16, , 5, , 1
2020/3/14, 23, 19, , 4, , 
2020/3/15, 19, 10, , 2, , 
2020/3/16, 14, 22, , 5, , 2
2020/3/17, 25, 22, , 5, , 2
2020/3/18, 23, 26, , 5, , 2
2020/3/19, 24, 17, , 5, , 2
2020/3/20, 23, 16, , 6, , 2
2020/3/21, 23, 19, , 3, , 2
2020/3/22, 29, 23, , 3, , 1
2020/3/23, 38, 27, , 5, , 2
2020/3/24, 33, 21, , 5, , 1
2020/3/25, 28, 15, , 5, , 2
2020/3/26, 20, 23, , 5, , 2
2020/3/27, 23, 15, , 5, , 2
2020/3/28, 20, 15, , 2, , 1
2020/3/29, 21, 9, , 2, , 1
2020/3/30, 17, 12, , 4, , 2
2020/3/31, 19, 14, , 5, , 1
2020/4/1, 23, 20, , 6, , 1
2020/2/2, 23, 11, , 2, , 
2020/2/3, 21, 17, , 3, , 1
2020/2/4, 27, 17, , 5, , 1
2020/2/5, 35, 20, , 5, , 1
2020/2/6, 37, 9, , 7, , 1
2020/2/7, 18, 11, , 4, , 
2020/2/8, 22, 11, , 2, , 
2020/2/9, 20, 10, , 3, , 
2020/2/10, 19, 13, , 5, , 1
2020/2/11, 22, 13, , 6, , 1
2020/2/12, 23, 11, , 5, , 1
2020/2/13, 18, 7, , 5, , 1
2020/2/14, 14, 16, , 5, , 1
2020/2/15, 23, 14, , 3, , 
2020/2/16, 26, 13, , 3, , 
2020/2/17, 25, 14, , 3, , 1
2020/2/18, 22, 13, , 4, , 1
2020/2/19, 21, 14, , 4, , 1
