date, pm25, pm10, o3, no2, so2, co
2020/4/2, 17, 7, 13, 2, , 
2020/4/3, 22, 4, 15, 1, , 
2020/4/4, 11, 4, 15, 3, , 
2020/4/5, 12, 6, 14, 3, , 
2020/4/6, 17, 15, 11, 9, , 
2020/4/7, 15, , , , , 
2020/3/2, 10, 7, 7, 7, , 
2020/3/3, 17, 6, 13, 4, , 
2020/3/4, 18, 8, 16, 3, , 
2020/3/5, 16, 11, 11, 7, , 
2020/3/6, 16, 7, 14, 8, , 
2020/3/7, 19, 7, 13, 6, , 
2020/3/8, 17, 7, 13, 6, , 
2020/3/9, 14, 10, 10, 9, , 
2020/3/10, 24, 9, 6, 9, , 
2020/3/11, 30, 8, 16, 3, , 
2020/3/12, 16, 8, 16, 3, , 
2020/3/13, 19, 7, 17, 4, , 
2020/3/14, 12, 6, 16, 1, , 
2020/3/15, 15, 10, 15, 2, , 
2020/3/16, 13, 24, 12, 10, , 
2020/3/17, 27, 19, 12, 10, , 
2020/3/18, 31, 21, 9, 12, , 
2020/3/19, 43, 18, 11, 10, , 
2020/3/20, 45, 22, 10, 12, , 
2020/3/21, 46, 16, 12, 7, , 
2020/3/22, 39, 13, 17, 4, , 
2020/3/23, 43, 6, 15, 2, , 
2020/3/24, 12, 5, 11, 4, , 
2020/3/25, 20, 6, 12, 6, , 
2020/3/26, 18, 8, 15, 3, , 
2020/3/27, 24, 10, 13, 3, , 
2020/3/28, 39, 5, 13, 1, , 
2020/3/29, 17, 4, 17, , , 
2020/3/30, 12, 4, 16, , , 
2020/3/31, 7, 6, 16, 3, , 
2020/4/1, 16, 3, 14, 2, , 
2020/2/2, 11, 6, 16, 2, , 
2020/2/3, 14, 7, 13, 5, , 
2020/2/4, 25, 6, 5, 9, , 
2020/2/5, 20, 6, 4, 10, , 
2020/2/6, 26, 6, 5, 7, , 
2020/2/7, 26, 6, 12, 7, , 
2020/2/8, 23, 7, 12, 6, , 
2020/2/9, 15, 7, 7, 9, , 
2020/2/25, 10, 11, 11, 9, , 
2020/2/26, 22, 11, 8, 9, , 
2020/2/27, 42, 9, 7, 9, , 
2020/2/28, 27, 6, 13, 5, , 
2020/2/29, 21, 6, 15, 3, , 
2020/3/1, 11, 5, 12, 5, , 
2020/1/3, 11, 6, 12, 6, , 
2020/1/4, 23, 8, 14, 2, , 
2020/1/5, 6, 6, 16, 2, , 
2020/1/6, 16, 6, 14, 4, , 
2020/1/7, 12, 5, 10, 9, , 
2020/1/8, 15, 4, 13, 3, , 
2020/1/9, 9, 5, 15, 5, , 
2020/1/10, 15, 9, 7, 10, , 
2020/1/11, 12, 4, 9, 5, , 
2020/1/12, 19, 6, 17, 2, , 
2020/1/13, 10, 5, 13, 3, , 
2020/1/14, 7, 5, 11, 6, , 
2020/1/15, 9, 12, 10, 7, , 
