date, pm25, o3, no2, so2, co
2020/4/2, 12, 19, , , 1
2020/4/3, 15, 19, , 1, 1
2020/4/4, 31, 17, , , 1
2020/4/5, 37, 16, , , 1
2020/4/6, 22, 15, , , 1
2020/4/7, 27, , , , 
2020/3/2, 26, 17, , , 1
2020/3/3, 15, 15, 3, , 1
2020/3/4, 36, 17, 1, , 1
2020/3/5, 15, 15, , , 1
2020/3/6, 10, 16, , , 1
2020/3/7, 14, 16, , , 1
2020/3/8, 17, 17, , , 1
2020/3/9, 14, 16, 1, , 1
2020/3/10, 16, 15, 1, , 1
2020/3/11, 20, 15, 1, , 1
2020/3/12, 21, 15, , , 1
2020/3/13, 16, 16, 3, 1, 1
2020/3/14, 31, 16, , , 1
2020/3/15, 10, 16, , , 1
2020/3/16, 14, 16, , , 1
2020/3/17, 14, 16, 4, , 1
2020/3/18, 33, 16, 1, , 1
2020/3/19, 13, 15, 3, , 1
2020/3/20, 31, 17, , , 1
2020/3/21, 13, 16, , , 1
2020/3/22, 21, 15, , , 1
2020/3/23, 16, 15, 1, , 1
2020/3/24, 24, 17, , , 1
2020/3/25, 22, 17, , , 1
2020/3/26, 22, 19, 1, , 1
2020/3/27, 30, 18, , , 1
2020/3/28, 9, 17, , , 1
2020/3/29, 20, 17, 2, , 1
2020/3/30, 25, 17, , 4, 1
2020/3/31, 22, 16, , 4, 1
2020/4/1, 13, 19, , , 1
2020/2/2, 24, 16, , , 1
2020/2/3, 11, 16, 1, , 1
2020/2/4, 15, 12, 2, , 1
2020/2/5, 19, 13, 1, , 1
2020/2/6, 14, 12, 3, , 1
2020/2/7, 25, 15, 1, , 1
2020/2/8, 15, 15, 1, , 1
2020/2/9, 20, 14, 1, , 1
2020/2/10, 16, 15, 2, , 1
2020/2/11, 16, 14, 2, , 1
2020/2/12, 18, 15, 1, , 1
2020/2/13, 22, 15, 1, , 1
2020/2/14, 19, 15, , , 1
2020/2/15, 11, 14, 1, , 1
2020/2/16, 18, 16, 1, , 1
2020/2/17, 20, 14, 2, , 1
2020/2/18, 25, 14, 1, , 1
2020/2/19, 17, 16, 1, , 1
2020/2/20, 12, 15, 1, , 1
2020/2/21, 19, 14, 2, , 1
2020/2/22, 27, 16, 2, , 1
2020/2/23, 29, 17, 2, , 1
2020/2/24, 31, 19, 2, , 1
2020/2/25, 35, 16, 4, , 2
2020/2/26, 37, 17, 2, , 1
2020/2/27, 33, 18, , , 1
2020/2/28, 27, 17, 1, , 1
2020/2/29, 19, 16, 3, , 1
2020/3/1, 29, 17, 1, , 1
2020/1/2, 17, 13, , , 1
