,Date,City,Country,co,no2,o3,pm10,pm25,so2
0,1/1/2019,Amsterdam,NL,1.8,5,23.8,19,41,0.1
1,1/1/2019,Bangkok,TH,0.1,13.3,11.9,31,70,1.1
2,1/1/2019,Beijing,CN,8.2,22.4,11,54,114,4.6
3,1/1/2019,Belgrade,RS,6,9.7,10.1,24,78,2.9
4,1/1/2019,Budapest,HU,7.2,12,11,20,56,2.4
5,1/1/2019,Busan,KR,3.4,10.2,21.6,25,61,4.3
6,1/1/2019,Delhi,IN,17.6,29,4.1,354,341,9.3
7,1/1/2019,Haarlem,NL,1.9,2.8,27.5,25,46,0.1
8,1/1/2019,Hong Kong,HK,7.5,18.6,6.2,32,76,2.6
9,1/1/2019,Kyoto,JP,3.4,8.4,19.2,10,38,2.9
10,1/1/2019,London,GB,7.6,12,14.9,11,30,0.9
11,1/1/2019,Mumbai,IN,15.4,38,16.1,122,169,13.5
12,1/1/2019,Osaka,JP,4.5,9.3,19.2,10,38,2.9
13,1/1/2019,Santiago,CL,7,9.3,21.6,47,73,1.8
14,1/1/2019,Seoul,KR,6.7,27.8,13.6,35,80,5.8
15,1/1/2019,Shanghai,CN,4.6,12.4,23.2,31,85,3.1
16,1/1/2019,Taipei,TW,3,8.4,27.2,10,21,2.9
17,1/1/2019,Tokyo,JP,3.4,13.9,16.8,10,38,1.5
18,1/10/2019,Amsterdam,NL,3.3,23.9,7.8,14,28,0.2
19,1/10/2019,Bangkok,TH,0.1,17.3,4,57,114,1.1
20,1/10/2019,Beijing,CN,14.5,38.4,2.1,87,168,8.7
21,1/10/2019,Belgrade,RS,7.8,12.5,11.7,36,110,3.7
22,1/10/2019,Budapest,HU,11.4,16.2,6.1,44,94,2.8
23,1/10/2019,Busan,KR,4.5,15.8,19.2,28,57,5.8
24,1/10/2019,Delhi,IN,11.3,24.6,5,153,219,8.9
25,1/10/2019,Haarlem,NL,2.2,9.2,16.8,14,20,0.3
26,1/10/2019,Hong Kong,HK,7.8,21.9,20.7,33,72,2.1
27,1/10/2019,Kyoto,JP,5.6,26,6.4,16,55,4.3
28,1/10/2019,London,GB,11.6,29.6,1.8,29,76,3.2
29,1/10/2019,Mumbai,IN,18.9,22.7,24.1,141,178,13.6
30,1/10/2019,Osaka,JP,5.6,28.8,7.3,14,50,4.3
31,1/10/2019,Santiago,CL,4.2,11.4,13.1,39,40,1.1
32,1/10/2019,Seoul,KR,8.9,45.4,3.2,53,99,8.6
33,1/10/2019,Shanghai,CN,4.6,22,9.8,18,59,2.6
34,1/10/2019,Taipei,TW,6.7,20.4,23.3,28,46,4.3
35,1/10/2019,Tokyo,JP,5.6,34.3,7.3,15,59,1.5
36,1/11/2019,Amsterdam,NL,2.3,11.5,19.5,10,19,0.1
37,1/11/2019,Bangkok,TH,0.1,24.8,6,76,160,2.2
38,1/11/2019,Beijing,CN,16.3,41.6,2.5,90,175,8.7
39,1/11/2019,Belgrade,RS,8.7,15,5.8,42,124,3.6
40,1/11/2019,Budapest,HU,8.7,11.7,10.7,23,63,2.8
41,1/11/2019,Busan,KR,4.5,23.2,14.5,41,80,7.2
42,1/11/2019,Delhi,IN,19.9,33,3.6,282,317,9.6
43,1/11/2019,Haarlem,NL,2.1,4.2,27.2,10,15,0.1
44,1/11/2019,Hong Kong,HK,8.7,32.8,9.6,42,89,2.4
45,1/11/2019,Kyoto,JP,4.5,18.6,16,14,50,2.9
46,1/11/2019,London,GB,8.2,25.5,4,19,59,2.1
47,1/11/2019,Mumbai,IN,18.3,24.6,25.6,156,176,16.6
48,1/11/2019,Osaka,JP,4.5,18.6,19.2,14,50,2.9
49,1/11/2019,Santiago,CL,3.6,12,11.2,42,47,1.4
50,1/11/2019,Seoul,KR,10,48.2,3.2,62,151,8.6
51,1/11/2019,Shanghai,CN,5.5,24.7,7.4,17,59,2.6
52,1/11/2019,Taipei,TW,7.7,24.1,6.4,46,70,4.3
53,1/11/2019,Tokyo,JP,4.5,18.6,22.4,10,38,1.5
54,1/12/2019,Amsterdam,NL,1.9,6.7,18.3,12,25,0.2
55,1/12/2019,Bangkok,TH,0.1,21.3,5.6,66,153,1.6
56,1/12/2019,Beijing,CN,27.2,49.9,2.1,135,252,7.6
57,1/12/2019,Belgrade,RS,8.7,16.2,8.3,38,112,5.1
58,1/12/2019,Budapest,HU,7.8,9.6,12.8,11,33,2.4
59,1/12/2019,Busan,KR,4.5,21.3,12.8,34,78,5.8
60,1/12/2019,Delhi,IN,22.6,37.8,3.6,365,354,8.4
61,1/12/2019,Haarlem,NL,2.1,4.8,22.1,18,32,2.2
62,1/12/2019,Hong Kong,HK,14.7,56.4,1.9,86,163,5.6
63,1/12/2019,Kyoto,JP,4.5,20.4,11.2,15,50,2.9
64,1/12/2019,London,GB,8.2,17,10.2,10,29,2.6
65,1/12/2019,Mumbai,IN,19.1,25.7,29.5,149,176,16.6
66,1/12/2019,Osaka,JP,5.6,22.3,12.8,14,50,2.9
67,1/12/2019,Santiago,CL,4.8,9.9,12.8,40,48,1.2
68,1/12/2019,Seoul,KR,11.2,53.3,5.6,72,159,8.6
69,1/12/2019,Shanghai,CN,10,22.9,4.1,42,117,3.6
70,1/12/2019,Taipei,TW,5.7,16.7,12.1,25,55,2.9
71,1/12/2019,Tokyo,JP,4.5,28.8,8.8,18,63,1.5
72,1/13/2019,Amsterdam,NL,2,4.5,23.4,13,28,0.1
73,1/13/2019,Bangkok,TH,0.1,21.3,5.6,71,158,1.6
74,1/13/2019,Beijing,CN,16.3,37.5,4.5,117,192,2.6
75,1/13/2019,Belgrade,RS,10.6,19.4,8.2,52,151,8.2
76,1/13/2019,Budapest,HU,8.8,9.5,13.4,10,34,2.5
77,1/13/2019,Busan,KR,5.6,19.5,17.6,60,153,5.8
78,1/13/2019,Delhi,IN,17,29.9,5.1,246,307,8.8
79,1/13/2019,Haarlem,NL,2,3,24.8,21,38,2.1
80,1/13/2019,Hong Kong,HK,8.2,17.6,16.7,31,73,1.6
81,1/13/2019,Kyoto,JP,4.5,13.9,13.6,12,42,1.5
82,1/13/2019,London,GB,7,9.9,16.3,8,22,2.1
83,1/13/2019,Mumbai,IN,19.1,21,25.7,122,167,16
84,1/13/2019,Osaka,JP,4.5,13,17.6,10,38,2.9
85,1/13/2019,Santiago,CL,4.3,6.3,10.4,30,40,1
86,1/13/2019,Seoul,KR,12.3,47.3,6.4,79,163,8.6
87,1/13/2019,Shanghai,CN,10,23.4,10.6,63,162,3.6
88,1/13/2019,Taipei,TW,6.2,10.2,22.4,18,38,2.9
89,1/13/2019,Tokyo,JP,3.4,13,19.2,12,46,1.5
90,1/14/2019,Amsterdam,NL,2.1,9.2,20.8,11,21,0.2
91,1/14/2019,Bangkok,TH,0.1,18.5,10.7,71,155,1.6
92,1/14/2019,Beijing,CN,21.7,44.8,4.9,122,217,4.6
93,1/14/2019,Belgrade,RS,7.2,13.8,15.4,16,59,6
94,1/14/2019,Budapest,HU,6.7,6.7,21.3,9,13,2.6
95,1/14/2019,Busan,KR,5.6,31.5,12.1,56,139,7.2
96,1/14/2019,Delhi,IN,8.8,18.1,6.3,105,169,7.5
97,1/14/2019,Haarlem,NL,1.8,1.4,28.3,17,26,2.3
98,1/14/2019,Hong Kong,HK,8.8,21.1,18,42,89,2
99,1/14/2019,Kyoto,JP,3.4,13.9,14.5,9,30,1.5
100,1/14/2019,London,GB,7.5,21.5,10.9,14,35,1.7
101,1/14/2019,Mumbai,IN,19.9,29,24.3,118,163,16
102,1/14/2019,Osaka,JP,4.5,16.7,15.2,9,34,2.9
103,1/14/2019,Santiago,CL,4,8.8,9.7,32,35,0.9
104,1/14/2019,Seoul,KR,15.6,60.9,3.2,103,188,8.6
105,1/14/2019,Shanghai,CN,9.1,28.8,18.7,65,163,3.6
106,1/14/2019,Taipei,TW,4.8,11.2,28.1,28,53,2.9
107,1/14/2019,Tokyo,JP,4.5,19.5,16.8,11,46,1.5
108,1/15/2019,Amsterdam,NL,2.3,12.1,16.8,15,28,0.1
109,1/15/2019,Bangkok,TH,0.1,18.5,7.1,62,147,1.6
110,1/15/2019,Beijing,CN,2.8,6,21.6,46,34,1.6
111,1/15/2019,Belgrade,RS,6.1,12.5,17.8,12,46,4
112,1/15/2019,Budapest,HU,5.9,6.3,23.1,7,11,2.5
113,1/15/2019,Busan,KR,6.7,21.3,25.6,60,144,7.2
114,1/15/2019,Delhi,IN,9.8,21.6,6.8,122,185,8.6
115,1/15/2019,Haarlem,NL,2.2,7.6,20.3,22,35,0.1
116,1/15/2019,Hong Kong,HK,9.7,26.6,12.2,30,77,1.7
117,1/15/2019,Kyoto,JP,5.6,27.8,5.6,13,50,2.9
118,1/15/2019,London,GB,10.2,20.5,7.8,12,31,2.9
119,1/15/2019,Mumbai,IN,20.4,22.7,25.1,104,163,19.5
120,1/15/2019,Osaka,JP,6.7,33.4,5.6,16,55,2.9
121,1/15/2019,Santiago,CL,3.9,12.5,12.5,41,47,1.4
122,1/15/2019,Seoul,KR,11.2,28.8,13.6,96,178,7.2
123,1/15/2019,Shanghai,CN,10.9,22,26,73,170,4.1
124,1/15/2019,Taipei,TW,5,15.8,22.4,24,53,4.3
125,1/15/2019,Tokyo,JP,5.6,35.2,4,18,65,2.9
126,1/16/2019,Amsterdam,NL,2.3,12.5,14.4,13,39,0.2
127,1/16/2019,Bangkok,TH,0.1,17.9,4.8,57,127,1.6
128,1/16/2019,Beijing,CN,7.3,28.8,4.1,65,127,5.6
129,1/16/2019,Belgrade,RS,8.1,16.9,14.5,21,62,9.1
130,1/16/2019,Budapest,HU,8.4,8.8,16.8,9,17,2.5
131,1/16/2019,Busan,KR,3.4,13.9,20.8,34,55,5.8
132,1/16/2019,Delhi,IN,19,33.8,3.7,270,298,9.5
133,1/16/2019,Haarlem,NL,2.3,7.2,19,17,42,0.2
134,1/16/2019,Hong Kong,HK,10.8,20.2,7.8,30,70,2.2
135,1/16/2019,Kyoto,JP,5.6,13.9,23.3,17,57,2.9
136,1/16/2019,London,GB,8.2,16.1,11.1,9,26,3.4
137,1/16/2019,Mumbai,IN,25.4,24.4,14.3,116,164,13.8
138,1/16/2019,Osaka,JP,6.7,17.6,23.3,17,59,2.9
139,1/16/2019,Santiago,CL,3.6,9.8,12.1,47,53,1.9
140,1/16/2019,Seoul,KR,5.6,24.1,11.2,42,61,5.8
141,1/16/2019,Shanghai,CN,4.6,16.5,18.7,45,78,4.1
142,1/16/2019,Taipei,TW,5.2,14.9,28.9,13,30,2.9
143,1/16/2019,Tokyo,JP,5.6,17.6,24.8,12,50,1.5
144,1/17/2019,Amsterdam,NL,2.2,10.4,19.7,9,18,0.1
145,1/17/2019,Bangkok,TH,0.1,17.9,7.5,60,129,1.6
146,1/17/2019,Beijing,CN,10.9,33,2.5,64,129,6.1
147,1/17/2019,Belgrade,RS,10.1,20.9,13.2,51,120,8.5
148,1/17/2019,Budapest,HU,9.9,17.1,3.3,28,58,2.9
149,1/17/2019,Busan,KR,4.5,12.1,22.4,30,65,5.8
150,1/17/2019,Delhi,IN,22.3,32.6,3.8,404,383,9.6
151,1/17/2019,Haarlem,NL,2,3.7,27.3,14,19,0.1
152,1/17/2019,Hong Kong,HK,11.7,22.8,10,30,70,2.1
153,1/17/2019,Kyoto,JP,5.6,13.9,21.6,14,50,2.9
154,1/17/2019,London,GB,9.1,20.7,9.2,12,34,1.6
155,1/17/2019,Mumbai,IN,26.6,25.9,12.4,136,169,14.8
156,1/17/2019,Osaka,JP,4.5,13.9,22.4,11,42,2.9
157,1/17/2019,Santiago,CL,4.6,9.8,11.2,43,51,1.5
158,1/17/2019,Seoul,KR,6.7,34.3,5.6,40,72,7.2
159,1/17/2019,Shanghai,CN,10,33,5.3,78,162,6.1
160,1/17/2019,Taipei,TW,4.9,14.9,25.6,33,53,2.9
161,1/17/2019,Tokyo,JP,5.6,23.2,20,13,50,2.9
162,1/18/2019,Amsterdam,NL,3.5,31.6,3.9,20,38,0.5
163,1/18/2019,Bangkok,TH,0.1,13.3,9.1,49,91,1.1
164,1/18/2019,Beijing,CN,15.4,40.3,2.1,85,160,9.2
165,1/18/2019,Belgrade,RS,7.8,17.7,12,27,76,5.5
166,1/18/2019,Budapest,HU,7.9,10.6,16.3,11,20,2.5
167,1/18/2019,Busan,KR,5.6,21.3,20,43,82,7.2
168,1/18/2019,Delhi,IN,15.2,26.7,2.6,230,286,7.4
169,1/18/2019,Haarlem,NL,3.8,25.2,3.6,21,37,1.5
170,1/18/2019,Hong Kong,HK,10.7,23.9,16,39,84,2
171,1/18/2019,Kyoto,JP,3.4,7.5,26.4,10,34,2.9
172,1/18/2019,London,GB,12.7,27.8,4.3,20,51,3.3
173,1/18/2019,Mumbai,IN,26.3,30.6,11.7,128,171,15.8
174,1/18/2019,Osaka,JP,3.4,11.2,24.8,10,38,2.9
175,1/18/2019,Santiago,CL,5.7,17.9,20.8,54,57,3.1
176,1/18/2019,Seoul,KR,10,48.2,4,52,102,7.2
177,1/18/2019,Shanghai,CN,9.1,33.4,16.7,75,170,5.1
178,1/18/2019,Taipei,TW,3.8,9.3,33.6,39,55,2.9
179,1/18/2019,Tokyo,JP,2.3,10.2,26.4,7,25,1.5
180,1/19/2019,Amsterdam,NL,3.3,19.8,5.4,22,65,0.4
